index,eligible,ground_truth_eligible,witness_time_ms,generate_time_ms,verify_time_ms,verified,jurisdiction,jurisdiction_name,failed_flags
0,true,true,582,607,23,true,3,Maharashtra,""
1,false,false,31,32,0,false,3,Maharashtra,"kyc_pass;title_valid;registry_verified;jurisdiction_mismatch"
2,true,true,210,232,21,true,1,Karnataka,""
3,true,true,233,248,15,true,0,Delhi,""
4,false,false,26,27,0,false,0,Delhi,"kyc_pass;mutation_complete;encumbrance_free;jurisdiction_eligible;jurisdiction_mismatch"
5,true,true,245,264,18,true,7,Gujarat,""
6,false,false,33,34,0,false,4,Rajasthan,"tax_paid;zoning_compliant;jurisdiction_mismatch"
7,true,true,210,226,14,true,4,Rajasthan,""
8,true,true,212,228,15,true,3,Maharashtra,""
9,true,true,250,274,23,true,6,Uttar_Pradesh,""
10,true,true,263,280,16,true,4,Rajasthan,""
11,true,true,255,270,15,true,6,Uttar_Pradesh,""
12,true,true,209,224,15,true,2,Telangana,""
13,false,false,34,34,0,false,3,Maharashtra,"kyc_pass;title_valid;tax_paid;jurisdiction_mismatch"
14,true,true,242,257,14,true,7,Gujarat,""
15,true,true,238,252,14,true,2,Telangana,""
16,true,true,201,218,15,true,7,Gujarat,""
17,false,false,31,31,0,false,7,Gujarat,"mutation_complete;jurisdiction_eligible;jurisdiction_mismatch"
18,true,true,251,266,14,true,3,Maharashtra,""
19,true,true,208,222,13,true,0,Delhi,""
20,false,false,29,30,0,false,4,Rajasthan,"registry_verified;mutation_complete;jurisdiction_mismatch"
21,true,true,213,227,14,true,0,Delhi,""
22,true,true,228,241,13,true,0,Delhi,""
23,true,true,235,250,14,true,4,Rajasthan,""
24,true,true,227,241,14,true,7,Gujarat,""
25,false,false,32,32,0,false,6,Uttar_Pradesh,"title_valid;mutation_complete;zoning_compliant;jurisdiction_mismatch"
26,true,true,222,240,17,true,5,Chandigarh,""
27,false,false,33,34,0,false,3,Maharashtra,"encumbrance_free;tax_paid;jurisdiction_mismatch"
28,false,false,41,41,0,false,3,Maharashtra,"kyc_pass;title_valid;jurisdiction_eligible;jurisdiction_mismatch"
29,true,true,230,245,14,true,4,Rajasthan,""
30,true,true,244,260,15,true,0,Delhi,""
31,true,true,195,209,14,true,1,Karnataka,""
32,false,false,29,30,0,false,6,Uttar_Pradesh,"registry_verified;encumbrance_free;jurisdiction_mismatch"
33,true,true,217,233,16,true,4,Rajasthan,""
34,true,true,197,212,15,true,0,Delhi,""
35,true,true,251,268,16,true,7,Gujarat,""
36,false,false,35,36,0,false,2,Telangana,"kyc_pass;title_valid;registry_verified;jurisdiction_mismatch"
37,false,false,40,41,0,false,1,Karnataka,"registry_verified;mutation_complete;encumbrance_free;tax_paid;jurisdiction_mismatch"
38,true,true,201,216,14,true,3,Maharashtra,""
39,false,false,34,34,0,false,3,Maharashtra,"kyc_pass;title_valid;mutation_complete;tax_paid;jurisdiction_mismatch"
40,false,false,37,38,0,false,0,Delhi,"kyc_pass;jurisdiction_mismatch"
41,true,true,250,270,19,true,1,Karnataka,""
42,true,true,211,224,13,true,1,Karnataka,""
43,false,false,29,30,0,false,0,Delhi,"kyc_pass;registry_verified;jurisdiction_mismatch"
44,true,true,230,245,14,true,3,Maharashtra,""
45,false,false,30,31,0,false,0,Delhi,"mutation_complete;jurisdiction_mismatch"
46,true,true,199,215,16,true,6,Uttar_Pradesh,""
47,true,true,237,251,13,true,3,Maharashtra,""
48,true,true,226,242,15,true,5,Chandigarh,""
49,false,false,32,33,0,false,1,Karnataka,"tax_paid;jurisdiction_eligible;jurisdiction_mismatch"
50,true,true,229,248,18,true,6,Uttar_Pradesh,""
51,false,false,31,32,0,false,3,Maharashtra,"registry_verified;encumbrance_free;tax_paid;jurisdiction_eligible;jurisdiction_mismatch"
52,true,true,222,237,15,true,5,Chandigarh,""
53,true,true,223,237,14,true,5,Chandigarh,""
54,false,false,28,29,0,false,7,Gujarat,"kyc_pass;title_valid;zoning_compliant;jurisdiction_mismatch"
55,true,true,213,230,16,true,5,Chandigarh,""
56,true,true,203,218,15,true,6,Uttar_Pradesh,""
57,true,true,253,270,16,true,5,Chandigarh,""
58,false,false,34,35,0,false,2,Telangana,"kyc_pass;title_valid;encumbrance_free;jurisdiction_eligible;jurisdiction_mismatch"
59,true,true,226,240,14,true,2,Telangana,""
60,true,true,240,255,14,true,5,Chandigarh,""
61,true,true,223,238,14,true,3,Maharashtra,""
62,true,true,196,211,15,true,2,Telangana,""
63,false,false,38,38,0,false,4,Rajasthan,"encumbrance_free;jurisdiction_eligible;jurisdiction_mismatch"
64,true,true,234,249,14,true,0,Delhi,""
65,true,true,209,224,14,true,1,Karnataka,""
66,true,true,231,245,14,true,3,Maharashtra,""
67,true,true,245,259,14,true,6,Uttar_Pradesh,""
68,true,true,211,225,13,true,7,Gujarat,""
69,false,false,30,30,0,false,0,Delhi,"mutation_complete;encumbrance_free;jurisdiction_eligible;jurisdiction_mismatch"
70,false,false,40,41,0,false,5,Chandigarh,"kyc_pass;zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
